Datetime,Open,High,Low,Close,Adj Close,Volume,changes
2024-06-21 09:30:00-04:00,210.38999938964844,211.25,210.3000030517578,210.8000030517578,210.8000030517578,15905641,0.0
2024-06-21 09:31:00-04:00,210.8300018310547,210.8300018310547,210.11000061035156,210.47500610351562,210.47500610351562,402331,-0.154173123120116
2024-06-21 09:32:00-04:00,210.5,211.88999938964844,210.39999389648438,211.85000610351562,211.85000610351562,617400,0.6532842190885901
2024-06-21 09:33:00-04:00,211.8798065185547,211.88400268554688,211.1300048828125,211.4759979248047,211.4759979248047,443622,-0.17654386024807955
2024-06-21 09:34:00-04:00,211.47000122070312,211.47999572753906,210.83999633789062,211.11000061035156,211.11000061035156,1594868,-0.17306801624988877
2024-06-21 09:35:00-04:00,211.11000061035156,211.11000061035156,210.52999877929688,210.66000366210938,210.66000366210938,293962,-0.2131575704330313
2024-06-21 09:36:00-04:00,210.60000610351562,210.6190948486328,209.85000610351562,210.0395050048828,210.0395050048828,341596,-0.2945498179245387
2024-06-21 09:37:00-04:00,210.0399932861328,210.52000427246094,209.92999267578125,210.33990478515625,210.33990478515625,407633,0.1430206095117459
2024-06-21 09:38:00-04:00,210.33999633789062,210.6199951171875,210.27090454101562,210.61000061035156,210.61000061035156,255162,0.12840921720069787
2024-06-21 09:39:00-04:00,210.6199951171875,210.8699951171875,210.47999572753906,210.8699951171875,210.8699951171875,256436,0.12344831968209569
2024-06-21 09:40:00-04:00,210.83590698242188,211.0399932861328,210.75,210.7899932861328,210.7899932861328,220119,-0.03793893531900405
2024-06-21 09:41:00-04:00,210.78590393066406,210.91000366210938,210.58999633789062,210.61000061035156,210.61000061035156,171468,-0.08538957327870467
2024-06-21 09:42:00-04:00,210.61000061035156,210.6300048828125,210.3699951171875,210.58009338378906,210.58009338378906,176995,-0.01420028796155215
2024-06-21 09:43:00-04:00,210.58999633789062,210.75,210.28050231933594,210.29299926757812,210.29299926757812,165512,-0.13633487933149002
2024-06-21 09:44:00-04:00,210.3083953857422,210.33999633789062,210.1199951171875,210.3000030517578,210.3000030517578,216424,0.0033304885108220716
2024-06-21 09:45:00-04:00,210.25,210.60000610351562,210.08999633789062,210.1800994873047,210.1800994873047,285655,-0.057015483933975375
2024-06-21 09:46:00-04:00,210.1999969482422,210.3300018310547,210.07000732421875,210.297607421875,210.297607421875,207663,0.05590821150858183
2024-06-21 09:47:00-04:00,210.3072967529297,210.6699981689453,210.25999450683594,210.5,210.5,263095,0.09624102746874641
2024-06-21 09:48:00-04:00,210.50999450683594,210.52999877929688,210.12060546875,210.39999389648438,210.39999389648438,178995,-0.04750883777464576
2024-06-21 09:49:00-04:00,210.38999938964844,210.6300048828125,210.32000732421875,210.57000732421875,210.57000732421875,240054,0.08080486343455817
2024-06-21 09:50:00-04:00,210.58999633789062,210.72999572753906,210.210693359375,210.35009765625,210.35009765625,239590,-0.10443541830255088
2024-06-21 09:51:00-04:00,210.6999969482422,210.6999969482422,210.6999969482422,210.6999969482422,210.6999969482422,0,0.1663413974563488
