Date,Open,High,Low,Close,Adj Close,Volume,changes
2024-05-21,176.89999389648438,178.14999389648438,175.80999755859375,177.85000610351562,177.6461181640625,16989400,0.0
2024-05-22,176.63999938964844,177.14999389648438,175.2100067138672,176.3800048828125,176.1778106689453,17880000,-0.8265398764437104
2024-05-23,177.07000732421875,178.25,172.9499969482422,173.5500030517578,173.35104370117188,21024900,-1.6044912987358995
2024-05-24,174.97999572753906,175.77000427246094,173.64999389648438,174.99000549316406,174.78939819335938,16572500,0.8297334578420079
2024-05-28,174.4499969482422,177.27000427246094,174.3699951171875,176.39999389648438,176.19776916503906,20572200,0.8057536768152129
2024-05-29,175.42999267578125,176.83999633789062,174.72000122070312,175.89999389648438,175.69834899902344,23388700,-0.2834467218255199
2024-05-30,175.1999969482422,175.22000122070312,171.7899932861328,172.11000061035156,171.91270446777344,22958700,-2.1546295722802533
2024-05-31,171.86000061035156,173.05999755859375,169.44000244140625,172.5,172.30224609375,37638900,0.22659891247771569
2024-06-03,172.5399932861328,174.52999877929688,171.16000366210938,173.1699981689453,172.9714813232422,27459100,0.3884047356204734
2024-06-04,173.27999877929688,173.85000610351562,171.88999938964844,173.7899932861328,173.59075927734375,26879600,0.35802686593704447
2024-06-05,175.1999969482422,176.64999389648438,173.92999267578125,175.41000366210938,175.20892333984375,22068500,0.9321655092703329
2024-06-06,175.89999389648438,177.14999389648438,175.75,176.72999572753906,176.5273895263672,23251000,0.7525181220407351
2024-06-07,177.0500030517578,177.8699951171875,174.3000030517578,174.4600067138672,174.260009765625,19661400,-1.2844390134946093
2024-06-10,174.97000122070312,177.05999755859375,172.75999450683594,175.00999450683594,175.00999450683594,23779200,0.3152515028104874
2024-06-11,176.22000122070312,176.83999633789062,173.77000427246094,176.6199951171875,176.6199951171875,21540600,0.9199478092027924
2024-06-12,178.25,180.41000366210938,176.11000061035156,177.7899932861328,177.7899932861328,27864700,0.662438116459585
2024-06-13,176.11000061035156,176.74000549316406,174.8800048828125,175.16000366210938,175.16000366210938,20913300,-1.4792675197364824
2024-06-14,174.22000122070312,177.05999755859375,174.14999389648438,176.7899932861328,176.7899932861328,18063600,0.9305718143097108
2024-06-17,175.4600067138672,178.36000061035156,174.80999755859375,177.24000549316406,177.24000549316406,19618500,0.25454619838289894
2024-06-18,177.13999938964844,177.38999938964844,174.10000610351562,175.08999633789062,175.08999633789062,21869900,-1.2130495873610037
2024-06-20,175.3699951171875,177.2899932861328,174.99000549316406,176.3000030517578,176.3000030517578,20084600,0.6910770113514042
2024-06-21,177.0,178.63999938964844,176.61000061035156,178.6199951171875,178.6199951171875,8483451,1.315934217396797
